280;102000000;87.755;12832;08.sty;520000000;137;33422;en;Action#Thriller#Science Fiction;Carolco Pictures#Pacific Western#Lightstorm Entertainment#Le Studio Canal+;FR#US;English#Espaniol
284;3000000;29.988;2283;08.lut;25000000;125;22088;en;Comedy#Drama#Romance;The Mirisch Company#United Artists;US;English
74643;15000000;17.59;3229;7.456;133432856;100;40828;fr;Drama#Comedy#Romance;uFilm#La Petite Reine#Studio 37#La Classe américaine#JD Prod#France 3 Cinéma#Jouror Productions;BE#FR;No Language
24428;220000000;174.659;30721;lip.72;1518815515;143;41024;en;Science Fiction#Action#Adventure;Marvel Studios;US;English#Thai#Russian
887;2100000;16.298;642;07.sie;23650000;171;17161;en;Drama#Romance#War;Samuel Goldwyn Productions#RKO Radio Pictures#Samuel Goldwyn Company;US;English
115;15000000;53.553;11127;07.sie;47010480;117;35860;en;Comedy#Crime;PolyGram Filmed Entertainment#Working Title Films#Gramercy Pictures;GB#US;English#Squiggles2#Espaniol#Deutsch
910;250000;17.137;1033;07.cze;10682000;114;17037;en;Mystery#Crime#Thriller;Warner Bros. Pictures;US;English
2503;70000000;48.326;7599;07.kwi;442824138;115;39297;en;Action#Drama#Mystery#Thriller;Universal Pictures#The Kennedy/Marshall Company#Ludlum Entertainment#Motion Picture BETA Produktionsgesellschaft#Bourne Again#KanZaman Services#Peninsula Films#Studio Babelsberg;FR#DE#ES#US;English#French#Arabic#Russian#Espaniol
826;3000000;24.719;2074;07.sie;44908000;161;21104;en;Drama#History#War;Horizon Pictures;GB;Chinese2#Innuit#English
155;185000000;201.936;32874;8.516;1004558444;152;39645;en;Drama#Action#Crime#Thriller;DC#Legendary Pictures#Syncopy#Isobel Griffiths#Warner Bros. Pictures;GB#US;English#Chinese
11778;15000000;29.311;3787;7.998;49000000;183;28832;en;Drama#War;Universal Pictures#EMI Films;GB#US;English#French#Russian#Vietnameese
1422;90000000;51.97;14832;8.162;291465000;151;38994;en;Drama#Thriller#Crime;Warner Bros. Pictures#Plan B Entertainment#Initial Entertainment Group#Vertigo Entertainment#Media Asia Films;HK#US;English#Chinese3
